NOME_IES	NOME_ESPECIALIZACAO	Area_Conhecimento	CARGA_HORARIA	DURACAO_MESES	MODALIDADE	VAGAS	MUNICIPIO	UF	REGIAO	SITUACAO	Categoria_IES
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	saúde da família	Saúde e bem-estar	360	18	Educação a Distância	2500	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Finanças	Negócios, administração e direito	470	11	Educação Presencial	15	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA	MATEMATICA COMPUTACIONAL APLICADA	Computação e Tecnologias da Informação e Comunicação (TIC)	362	24	Educação Presencial	18	Petrópolis	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	sistemas embarcados para internet das coisas	Engenharia, produção e construção	360	18	Educação Presencial	44	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Obstetrícia	Saúde e bem-estar	300	10	Educação Presencial	14	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Políticas de Informação e Organização do Conhecimento	Negócios, administração e direito	420	12	Educação Presencial	30	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA	ENGENHARIA MECÂNICA ÊNFASE EM EFICIÊNCIA ENERGÉTICA	Engenharia, produção e construção	360	24	Educação Presencial	31	Angra dos Reis	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE SÃO CARLOS	Master Business Engineering	Engenharia, produção e construção	380	23	Educação Presencial	60	São Carlos	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Hepatologia	Saúde e bem-estar	720	24	Educação Presencial	2	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Estudos Japoneses	Educação	360	12	Educação Presencial	25	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL	Ensino de Matemática para a Educação Básica	Educação	420	18	Educação Presencial	30	Bento Gonçalves	RS	SUL	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS	Aprimoramento Profissional em Medicina Veterinária	Agricultura, silvicultura, pesca e veterinária	720	24	Educação Presencial	4	Araguaína	TO	NORTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Literatura na Escola	Educação	360	25	Educação Presencial	40	Natal	RN	NORDESTE	Ativo	Pública Federal
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA	TURISMO SUSTENTÁVEL	Educação	360	24	Educação Presencial	30	Nova Friburgo	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DA REGIÃO TOCANTINA DO MARANHÃO	Ensino de História: teoria e métodos	Educação	360	18	Educação Presencial	50	Imperatriz	MA	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DE SÃO CARLOS	Ciência do Treinamento de Força	Saúde e bem-estar	360	24	Educação Presencial	70	São Carlos	SP	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL	Saúde Coletiva	Saúde e bem-estar	570	18	Educação Presencial	32	Alvorada	RS	SUL	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ	Ensino na Educação Básica	Educação	400	18	Educação Presencial	40	Maranguape	CE	NORDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ	Produção Animal no Semiárido	Agricultura, silvicultura, pesca e veterinária	440	18	Educação Presencial	30	Crato	CE	NORDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ	Gestão e Manejo de Recursos Ambientais	Agricultura, silvicultura, pesca e veterinária	440	18	Educação Presencial	30	Crato	CE	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Neurorreabilitação	Saúde e bem-estar	360	15	Educação Presencial	55	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Ensino de Espanhol como Língua Estrangeira	Artes e humanidades	375	22	Educação Presencial	100	Currais Novos	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Desenvolvimento de Software	Computação e Tecnologias da Informação e Comunicação (TIC)	360	18	Educação Presencial	30	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Desportos de Campo e Quadra	Saúde e bem-estar	360	20	Educação Presencial	60	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	MICROBIOLOGIA CLÍNICA	Saúde e bem-estar	405	24	Educação Presencial	35	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	Implantodontia	Saúde e bem-estar	720	24	Educação Presencial	12	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	RESIDÊNCIA EM ÁREA PROFISSIONAL  CLÍNICA DE PEQUENOS ANIMAIS	Agricultura, silvicultura, pesca e veterinária	720	24	Educação Presencial	6	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	RESIDÊNCIA EM ÁREA PROFISSIONAL - PATOLOGIA CLÍNICA VETERINÁRIA	Agricultura, silvicultura, pesca e veterinária	720	24	Educação Presencial	2	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	RESIDÊNCIA EM ÁREA PROFISSIONAL  PATOLOGIA VETERINÁRIA	Agricultura, silvicultura, pesca e veterinária	720	24	Educação Presencial	2	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	ATENDIMENTO EDUCACIONAL ESPECIALIZADO NA PERSPECTIVA DA EDUCAÇÃO INCLUSIVA	Educação	455	20	Educação a Distância	80	Catalão	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	literatura e cultura do rio grande do norte - Turma II	Artes e humanidades	400	18	Educação Presencial	66	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Dança	Artes e humanidades	440	15	Educação Presencial	80	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	HEMATOLOGIA	Saúde e bem-estar	468	18	Educação Presencial	50	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	HISTÓRIA DO BRASIL: SOCIEDADE, TRABALHO E CULTURA	Artes e humanidades	360	23	Educação Presencial	40	Catalão	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	GESTÃO DE SISTEMAS E SERVIÇOS DE SAÚDE	Saúde e bem-estar	360	13	Educação Presencial	50	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	LITERATURA E LÍNGUA PORTUGUESA	Educação	420	24	Educação Presencial	30	Jataí	GO	CENTRO-OESTE	Ativo	Pública Federal
FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO	Análises Clínicas  Avanços Diagnósticos	Saúde e bem-estar	420	24	Educação Presencial	60	São José do Rio Preto	SP	SUDESTE	Ativo	Pública Estadual
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	Especialização em Gestão Financeira	Negócios, administração e direito	493	18	Educação Presencial	30	Caraguatatuba	SP	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	Pós-graduação Lato Sensu em Educação em Direitos Humanos	Educação	440	18	Educação Presencial	20	Piracicaba	SP	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	Pós-graduação lato sensu formação docente: Educação para inserção social	Educação	440	24	Educação Presencial	30	Campinas	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Saúde Coletiva	Saúde e bem-estar	690	12	Educação Presencial	20	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO	Leitura e Produção Textual Aplicadas à Educação de Jovens e Adultos	Educação	360	18	Educação Presencial	40	Itapetinga	BA	NORDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL	Docência na Educação Básica	Educação	375	24	Educação Presencial	30	Vacaria	RS	SUL	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO	ensino de Ciências Naturais	Educação	400	20	Educação Presencial	20	Teixeira de Freitas	BA	NORDESTE	Ativo	Pública Federal
